"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201415","total","Local authority","West Midlands","Walsall","0.11","4.24","2.14","Walsall"
"201415","total","Local authority","West Midlands","Wolverhampton","0.07","2.92","1.74","Wolverhampton"
"201415","total","Local authority","North West","Knowsley","0.01","5.8","2.78","Knowsley"
"201415","total","Local authority","North West","Liverpool","0.1","3.37","2.3","Liverpool"
"201415","total","Local authority","North West","St. Helens","x","4.02","2.03","St. Helens"
"201415","total","Local authority","North West","Sefton","0.04","2.55","1.49","Sefton"
"201415","total","Local authority","North West","Wirral","0.06","3.07","1.74","Wirral"
"201415","total","Local authority","North West","Bolton","0.02","4.16","2","Bolton"
"201415","total","Local authority","North West","Bury","0.19","3.5","1.92","Bury"
"201415","total","Local authority","North West","Manchester","0.07","5.65","2.57","Manchester"
"201415","total","Local authority","North West","Oldham","0.15","3.06","1.71","Oldham"
"201415","total","Local authority","North West","Rochdale","0.18","4.79","2.63","Rochdale"
"201415","total","Local authority","North West","Salford","0.12","3.82","1.94","Salford"
"201415","total","Local authority","North West","Stockport","0.09","4.07","1.96","Stockport"
"201415","total","Local authority","North West","Tameside","0.16","5.33","2.76","Tameside"
"201415","total","Local authority","North West","Trafford","0.1","3.12","1.68","Trafford"
"201415","total","Local authority","North West","Wigan","0","3.76","1.99","Wigan"
"201415","total","Local authority","Yorkshire and the Humber","Barnsley","0.02","15.82","3.81","Barnsley"
"201415","total","Local authority","Yorkshire and the Humber","Doncaster","0","7.69","2.72","Doncaster"
"201415","total","Local authority","Yorkshire and the Humber","Rotherham","0.1","9.23","3.33","Rotherham"
"201415","total","Local authority","Yorkshire and the Humber","Sheffield","0.13","6.05","2.81","Sheffield"
"201415","total","Local authority","Yorkshire and the Humber","Bradford","0.01","3.03","1.87","Bradford"
"201415","total","Local authority","Yorkshire and the Humber","Calderdale","0.09","2.94","1.63","Calderdale"
"201415","total","Local authority","Yorkshire and the Humber","Kirklees","0.05","4.52","1.87","Kirklees"
"201415","total","Local authority","Yorkshire and the Humber","Leeds","0.02","4.83","2.04","Leeds"
"201415","total","Local authority","Yorkshire and the Humber","Wakefield","0.1","6.25","2.35","Wakefield"
"201415","total","Local authority","North East","Gateshead","0.2","2.35","1.47","Gateshead"
"201415","total","Local authority","North East","Newcastle upon Tyne","0.02","3.29","1.96","Newcastle upon Tyne"
"201415","total","Local authority","North East","North Tyneside","0.04","1.82","1.19","North Tyneside"
"201415","total","Local authority","North East","South Tyneside","0.1","1.34","0.85","South Tyneside"
"201415","total","Local authority","North East","Sunderland","0.08","2.07","1.26","Sunderland"
"201415","total","Local authority","South West","Isles Of Scilly","0","0","0","Isles Of Scilly"
"201415","total","Local authority","South West","Bath and North East Somerset","0.04","3.77","2","Bath and North East Somerset"
"201415","total","Local authority","South West","Bristol City of","0.11","6.02","2.77","Bristol City of"
"201415","total","Local authority","South West","North Somerset","0.13","2.57","1.48","North Somerset"
"201415","total","Local authority","South West","South Gloucestershire","0.07","3.56","1.75","South Gloucestershire"
"201415","total","Local authority","North East","Hartlepool","0.02","2.49","1.25","Hartlepool"
"201415","total","Local authority","North East","Middlesbrough","0.17","14.89","4.18","Middlesbrough"
"201415","total","Local authority","North East","Redcar and Cleveland","0","4.47","2.38","Redcar and Cleveland"
"201415","total","Local authority","North East","Stockton-on-Tees","0.05","2.63","1.54","Stockton-on-Tees"
"201415","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.06","2.59","1.39","Kingston upon Hull City of"
"201415","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.04","2.74","1.29","East Riding of Yorkshire"
"201415","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.18","4.63","2.42","North East Lincolnshire"
"201415","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0.07","8.71","3.11","North Lincolnshire"
"201415","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.06","3.72","1.72","North Yorkshire"
"201415","total","Local authority","Yorkshire and the Humber","York","0.02","3.13","1.51","York"
"201415","total","Local authority","East of England","Luton","0.05","3.87","2.34","Luton"
"201415","total","Local authority","East of England","Bedford","0.13","2.81","1.66","Bedford"
"201415","total","Local authority","East of England","Central Bedfordshire","0.06","3.3","1.66","Central Bedfordshire"
"201415","total","Local authority","South East","Buckinghamshire","0.07","2.72","1.51","Buckinghamshire"
"201415","total","Local authority","South East","Milton Keynes","0.06","4.8","2.26","Milton Keynes"
"201415","total","Local authority","East Midlands","Derbyshire","0.09","3.84","1.85","Derbyshire"
"201415","total","Local authority","East Midlands","Derby","0.11","4.21","2.3","Derby"
"201415","total","Local authority","South West","Dorset","0.02","2.84","1.69","Dorset"
"201415","total","Local authority","South West","Poole","0.2","6.09","2.25","Poole"
"201415","total","Local authority","South West","Bournemouth","0.09","4.8","2.36","Bournemouth"
"201415","total","Local authority","North East","Durham","0.11","4.03","1.94","Durham"
"201415","total","Local authority","North East","Darlington","0","5.52","2.63","Darlington"
"201415","total","Local authority","South East","East Sussex","0.11","4.02","1.99","East Sussex"
"201415","total","Local authority","South East","Brighton and Hove","0.01","3.41","1.82","Brighton and Hove"
"201415","total","Local authority","South East","Hampshire","0.03","3.5","1.75","Hampshire"
"201415","total","Local authority","South East","Portsmouth","0.05","5.68","1.98","Portsmouth"
"201415","total","Local authority","South East","Southampton","0.07","3.85","2.12","Southampton"
"201415","total","Local authority","East Midlands","Leicestershire","0.02","2.72","1.46","Leicestershire"
"201415","total","Local authority","East Midlands","Leicester","0.02","3.59","1.98","Leicester"
"201415","total","Local authority","East Midlands","Rutland","0.13","2.94","1.82","Rutland"
"201415","total","Local authority","West Midlands","Staffordshire","0.11","3.18","1.79","Staffordshire"
"201415","total","Local authority","West Midlands","Stoke-on-Trent","0.15","4.98","2.66","Stoke-on-Trent"
"201415","total","Local authority","South West","Wiltshire","0.02","3.33","1.73","Wiltshire"
"201415","total","Local authority","South West","Swindon","0.09","5.59","2.46","Swindon"
"201415","total","Local authority","South East","Bracknell Forest","x","2.39","1.36","Bracknell Forest"
"201415","total","Local authority","South East","Windsor and Maidenhead","0.03","2.68","1.69","Windsor and Maidenhead"
"201415","total","Local authority","South East","West Berkshire","0.06","3.57","1.8","West Berkshire"
"201415","total","Local authority","South East","Reading","0.1","2.71","1.45","Reading"
"201415","total","Local authority","South East","Slough","0.01","2.5","1.59","Slough"
"201415","total","Local authority","South East","Wokingham","0.07","2.61","1.26","Wokingham"
"201415","total","Local authority","East of England","Cambridgeshire","0.01","3.35","1.61","Cambridgeshire"
"201415","total","Local authority","East of England","Peterborough","0.06","4.37","2.25","Peterborough"
"201415","total","Local authority","North West","Halton","0.07","3.71","1.87","Halton"
"201415","total","Local authority","North West","Warrington","0.04","3.67","1.72","Warrington"
"201415","total","Local authority","South West","Devon","0.07","3.22","1.63","Devon"
"201415","total","Local authority","South West","Plymouth","0.04","3.26","1.9","Plymouth"
"201415","total","Local authority","South West","Torbay","0.08","5.03","2.48","Torbay"
"201415","total","Local authority","East of England","Essex","0.03","3.28","1.71","Essex"
"201415","total","Local authority","East of England","Southend-on-Sea","0.02","3.48","1.68","Southend-on-Sea"
"201415","total","Local authority","East of England","Thurrock","0.06","3.24","1.46","Thurrock"
"201415","total","Local authority","West Midlands","Herefordshire","0.03","3","1.68","Herefordshire"
"201415","total","Local authority","West Midlands","Worcestershire","0.07","3.23","1.78","Worcestershire"
"201415","total","Local authority","South East","Kent","0.04","4.98","2.54","Kent"
"201415","total","Local authority","South East","Medway","0.14","6.67","2.71","Medway"
"201415","total","Local authority","North West","Lancashire","0.15","3.36","1.75","Lancashire"
"201415","total","Local authority","North West","Blackburn with Darwen","0.01","1.38","0.92","Blackburn with Darwen"
"201415","total","Local authority","North West","Blackpool","0.27","8.61","3.88","Blackpool"
