"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","Local authority","Wolverhampton","Primary","74","25485","18","0.07","192","0.75","103","0.4"
"201617","Local authority","Wolverhampton","Secondary","22","16871","57","0.34","1400","8.3","759","4.5"
"201617","Local authority","Wolverhampton","Special","8","790","5","0.63","160","20.25","60","7.59"
"201617","Local authority","Knowsley","Total","60","20105","10","0.05","1162","5.78","551","2.74"
"201617","Local authority","Knowsley","Primary","50","14562","0","0","82","0.56","42","0.29"
"201617","Local authority","Knowsley","Secondary","6","5093","10","0.2","1043","20.48","490","9.62"
"201617","Local authority","Knowsley","Special","4","450","0","0","37","8.22","19","4.22"
"201617","Local authority","Liverpool","Total","166","70789","155","0.22","2869","4.05","1774","2.51"
"201617","Local authority","Liverpool","Primary","118","39938","46","0.12","456","1.14","267","0.67"
"201617","Local authority","Liverpool","Secondary","34","29486","109","0.37","2226","7.55","1433","4.86"
"201617","Local authority","Liverpool","Special","14","1365","0","0","187","13.7","74","5.42"
"201617","Local authority","St. Helens","Total","67","26067","x","x","1584","6.08","733","2.81"
"201617","Local authority","St. Helens","Primary","54","15764","x","x","210","1.33","86","0.55"
"201617","Local authority","St. Helens","Secondary","9","9899","x","x","1293","13.06","614","6.2"
"201617","Local authority","St. Helens","Special","4","404","0","0","81","20.05","33","8.17"
"201617","Local authority","Sefton","Total","100","40055","39","0.1","1144","2.86","673","1.68"
"201617","Local authority","Sefton","Primary","75","22819","x","x","187","0.82","82","0.36"
"201617","Local authority","Sefton","Secondary","19","16641","37","0.22","889","5.34","555","3.34"
"201617","Local authority","Sefton","Special","6","595","0","0","68","11.43","36","6.05"
"201617","Local authority","Wirral","Total","122","49794","61","0.12","2453","4.93","1292","2.59"
"201617","Local authority","Wirral","Primary","90","27578","x","x","309","1.12","150","0.54"
"201617","Local authority","Wirral","Secondary","21","21134","60","0.28","1913","9.05","1048","4.96"
"201617","Local authority","Wirral","Special","11","1082","0","0","231","21.35","94","8.69"
"201617","Local authority","Bolton","Total","124","49351","78","0.16","2817","5.71","1273","2.58"
"201617","Local authority","Bolton","Primary","97","29906","14","0.05","540","1.81","236","0.79"
"201617","Local authority","Bolton","Secondary","20","18677","63","0.34","2159","11.56","980","5.25"
"201617","Local authority","Bolton","Special","7","768","x","x","118","15.36","57","7.42"
"201617","Local authority","Bury","Total","80","29370","83","0.28","1728","5.88","806","2.74"
"201617","Local authority","Bury","Primary","63","17977","8","0.04","148","0.82","80","0.45"
"201617","Local authority","Bury","Secondary","14","11076","75","0.68","1577","14.24","724","6.54"
"201617","Local authority","Bury","Special","3","317","0","0","3","0.95","x","x"
"201617","Local authority","Manchester","Total","176","82864","105","0.13","4826","5.82","2422","2.92"
"201617","Local authority","Manchester","Primary","134","53993","11","0.02","729","1.35","331","0.61"
"201617","Local authority","Manchester","Secondary","29","27550","94","0.34","3872","14.05","2002","7.27"
"201617","Local authority","Manchester","Special","13","1321","0","0","225","17.03","89","6.74"
"201617","Local authority","Oldham","Total","106","43364","52","0.12","1858","4.28","1008","2.32"
"201617","Local authority","Oldham","Primary","87","26581","5","0.02","321","1.21","147","0.55"
"201617","Local authority","Oldham","Secondary","15","16077","47","0.29","1506","9.37","830","5.16"
"201617","Local authority","Oldham","Special","4","706","0","0","31","4.39","31","4.39"
"201617","Local authority","Rochdale","Total","85","34974","62","0.18","1455","4.16","773","2.21"
"201617","Local authority","Rochdale","Primary","69","22327","7","0.03","247","1.11","138","0.62"
"201617","Local authority","Rochdale","Secondary","12","12132","55","0.45","989","8.15","582","4.8"
"201617","Local authority","Rochdale","Special","4","515","0","0","219","42.52","53","10.29"
"201617","Local authority","Salford","Total","96","35181","64","0.18","1445","4.11","737","2.09"
"201617","Local authority","Salford","Primary","76","23728","11","0.05","299","1.26","150","0.63"
"201617","Local authority","Salford","Secondary","16","10906","53","0.49","1087","9.97","559","5.13"
"201617","Local authority","Salford","Special","4","547","0","0","59","10.79","28","5.12"
"201617","Local authority","Stockport","Total","105","40428","43","0.11","1684","4.17","851","2.1"
"201617","Local authority","Stockport","Primary","84","25893","x","x","404","1.56","169","0.65"
"201617","Local authority","Stockport","Secondary","13","13842","42","0.3","1182","8.54","636","4.59"
"201617","Local authority","Stockport","Special","8","693","0","0","98","14.14","46","6.64"
"201617","Local authority","Tameside","Total","97","36070","78","0.22","2587","7.17","1182","3.28"
"201617","Local authority","Tameside","Primary","77","22635","11","0.05","539","2.38","240","1.06"
"201617","Local authority","Tameside","Secondary","15","13037","67","0.51","1902","14.59","906","6.95"
"201617","Local authority","Tameside","Special","5","398","0","0","146","36.68","36","9.05"
"201617","Local authority","Trafford","Total","94","40688","55","0.14","1187","2.92","699","1.72"
"201617","Local authority","Trafford","Primary","67","22778","4","0.02","161","0.71","70","0.31"
"201617","Local authority","Trafford","Secondary","19","17194","50","0.29","902","5.25","583","3.39"
"201617","Local authority","Trafford","Special","8","716","x","x","124","17.32","46","6.42"
"201617","Local authority","Wigan","Total","130","46236","5","0.01","1875","4.06","918","1.99"
"201617","Local authority","Wigan","Primary","103","27844","0","0","348","1.25","165","0.59"
"201617","Local authority","Wigan","Secondary","21","17731","5","0.03","1479","8.34","725","4.09"
"201617","Local authority","Wigan","Special","6","661","0","0","48","7.26","28","4.24"
"201617","Local authority","Barnsley","Total","91","33470","22","0.07","5631","16.82","1440","4.3"
"201617","Local authority","Barnsley","Primary","78","21507","4","0.02","428","1.99","166","0.77"
"201617","Local authority","Barnsley","Secondary","11","11549","18","0.16","5192","44.96","1266","10.96"
"201617","Local authority","Barnsley","Special","2","414","0","0","11","2.66","8","1.93"
"201617","Local authority","Doncaster","Total","127","47504","5","0.01","9702","20.42","2333","4.91"
"201617","Local authority","Doncaster","Primary","102","29072","4","0.01","618","2.13","247","0.85"
"201617","Local authority","Doncaster","Secondary","19","17865","x","x","9076","50.8","2080","11.64"
"201617","Local authority","Doncaster","Special","6","567","0","0","8","1.41","6","1.06"
"201617","Local authority","Rotherham","Total","116","44135","30","0.07","3545","8.03","1288","2.92"
"201617","Local authority","Rotherham","Primary","94","25378","8","0.03","431","1.7","179","0.71"
"201617","Local authority","Rotherham","Secondary","16","18133","22","0.12","3114","17.17","1109","6.12"
"201617","Local authority","Rotherham","Special","6","624","0","0","0","0","0","0"
"201617","Local authority","Sheffield","Total","175","79542","120","0.15","6817","8.57","2577","3.24"
"201617","Local authority","Sheffield","Primary","136","47685","14","0.03","1025","2.15","433","0.91"
"201617","Local authority","Sheffield","Secondary","29","30780","106","0.34","5723","18.59","2116","6.87"
"201617","Local authority","Sheffield","Special","10","1077","0","0","69","6.41","28","2.6"
"201617","Local authority","Bradford","Total","199","98883","38","0.04","3504","3.54","2039","2.06"
"201617","Local authority","Bradford","Primary","158","59759","13","0.02","665","1.11","304","0.51"
"201617","Local authority","Bradford","Secondary","33","38036","24","0.06","2801","7.36","1711","4.5"
"201617","Local authority","Bradford","Special","8","1088","x","x","38","3.49","24","2.21"
"201617","Local authority","Calderdale","Total","101","36479","38","0.1","1798","4.93","855","2.34"
"201617","Local authority","Calderdale","Primary","83","20433","5","0.02","286","1.4","117","0.57"
"201617","Local authority","Calderdale","Secondary","14","15682","33","0.21","1509","9.62","735","4.69"
"201617","Local authority","Calderdale","Special","4","364","0","0","3","0.82","3","0.82"
"201617","Local authority","Kirklees","Total","178","67229","30","0.04","3744","5.57","1586","2.36"
"201617","Local authority","Kirklees","Primary","143","40109","4","0.01","797","1.99","298","0.74"
"201617","Local authority","Kirklees","Secondary","28","26398","26","0.1","2929","11.1","1274","4.83"
"201617","Local authority","Kirklees","Special","7","722","0","0","18","2.49","14","1.94"
"201617","Local authority","Leeds","Total","273","120432","8","0.01","7436","6.17","3080","2.56"
"201617","Local authority","Leeds","Primary","221","73718","0","0","608","0.82","293","0.4"
"201617","Local authority","Leeds","Secondary","44","45476","8","0.02","6601","14.52","2713","5.97"
"201617","Local authority","Leeds","Special","8","1238","0","0","227","18.34","74","5.98"
"201617","Local authority","Wakefield","Total","136","52081","71","0.14","4575","8.78","1590","3.05"
"201617","Local authority","Wakefield","Primary","114","32153","x","x","643","2","217","0.67"
"201617","Local authority","Wakefield","Secondary","18","19451","70","0.36","3892","20.01","1349","6.94"
"201617","Local authority","Wakefield","Special","4","477","0","0","40","8.39","24","5.03"
"201617","Local authority","Gateshead","Total","83","28376","73","0.26","1485","5.23","625","2.2"
"201617","Local authority","Gateshead","Primary","67","16434","x","x","85","0.52","39","0.24"
"201617","Local authority","Gateshead","Secondary","10","11371","72","0.63","1367","12.02","567","4.99"
